deg,width,func,epoch,train_loss,val_loss,batch_size,lr,n_samples,func_val_test,time_elapsed,backend,top_eig,trace,top_eig_train,trace_train,stop_loss,ln_eps,ln,weight_norm,l,d,f,h,dropout,wd,N,sam,sam_rho,asam
4,14,0,0,tensor(0.2540),tensor(0.2473),256,0.002,20000,tensor([2.0913]),0.016,nccl,60.023658752441406,52.49414229974514,59.550025939941406,56.421449826313896,0.02,1e-05,False,15.770260165314324,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,10,tensor(0.2518),tensor(0.2237),256,0.002,20000,tensor([2.0913]),0.179,nccl,48.46790313720703,44.39184580488903,48.3955078125,44.29151866989939,0.02,1e-05,False,13.630065270202882,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,20,tensor(0.2518),tensor(0.2517),256,0.002,20000,tensor([2.0913]),0.345,nccl,45.287872314453125,51.88264782078888,45.311317443847656,71.68947186378333,0.02,1e-05,False,12.261034635467578,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,30,tensor(0.2518),tensor(0.2598),256,0.002,20000,tensor([2.0913]),0.504,nccl,44.53767013549805,38.07159148812294,44.31766891479492,49.8500550955534,0.02,1e-05,False,11.548734664723307,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,40,tensor(0.2518),tensor(0.2570),256,0.002,20000,tensor([2.0913]),0.669,nccl,43.88915252685547,46.08198424142141,43.836997985839844,54.428142901592786,0.02,1e-05,False,10.482169254442825,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,50,tensor(0.2516),tensor(0.2515),256,0.002,20000,tensor([2.0913]),0.833,nccl,42.46659469604492,37.37768711116579,42.62993621826172,38.65919741896482,0.02,1e-05,False,9.965426501249139,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,60,tensor(0.2198),tensor(0.2277),256,0.002,20000,tensor([2.0913]),0.999,nccl,40.19551086425781,38.15067605403337,39.82815933227539,22.595407843589783,0.02,1e-05,False,15.657670134601652,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,70,tensor(0.2049),tensor(0.2054),256,0.002,20000,tensor([2.0913]),1.159,nccl,37.242950439453125,44.368530253767965,37.4294319152832,46.48071223735809,0.02,1e-05,False,15.825825633211315,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,80,tensor(0.2056),tensor(0.1919),256,0.002,20000,tensor([2.0913]),1.322,nccl,36.295528411865234,46.772027028140734,36.3343505859375,40.02028117142618,0.02,1e-05,False,16.26077192399443,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,0,tensor(0.2447),tensor(0.2462),256,0.002,20000,tensor([2.8828]),0.015,nccl,76.61919403076172,80.23000455260276,76.23655700683594,90.51175114086696,0.02,1e-05,False,16.241290173607307,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,90,tensor(0.2040),tensor(0.2044),256,0.002,20000,tensor([2.0913]),1.487,nccl,35.770050048828125,46.881358023149424,35.76515579223633,46.40232303677773,0.02,1e-05,False,17.248935407227453,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,10,tensor(0.2468),tensor(0.2344),256,0.002,20000,tensor([2.8828]),0.18,nccl,53.729610443115234,124.41085012753804,53.529296875,40.15462703564588,0.02,1e-05,False,13.969659369026001,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,100,tensor(0.2046),tensor(0.2044),256,0.002,20000,tensor([2.0913]),1.654,nccl,35.216331481933594,13.200555324554443,35.38478088378906,1.2694615125656128,0.02,1e-05,False,18.0304252409572,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,20,tensor(0.2458),tensor(0.2596),256,0.002,20000,tensor([2.8828]),0.334,nccl,47.98114013671875,38.61844563451442,48.16814041137695,29.4883945555914,0.02,1e-05,False,12.320944077370102,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,110,tensor(0.2037),tensor(0.1967),256,0.002,20000,tensor([2.0913]),1.809,nccl,34.85000991821289,44.974529858845386,34.783565521240234,59.488029029058374,0.02,1e-05,False,19.29850097735371,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,30,tensor(0.2454),tensor(0.2634),256,0.002,20000,tensor([2.8828]),0.494,nccl,46.71702194213867,58.1080949473381,46.62334060668945,45.0706055725322,0.02,1e-05,False,11.35149286854308,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,120,tensor(0.2038),tensor(0.1995),256,0.002,20000,tensor([2.0913]),1.973,nccl,32.91001510620117,58.47175928697748,33.477725982666016,48.429370164871216,0.02,1e-05,False,20.128218670254512,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,40,tensor(0.2450),tensor(0.2401),256,0.002,20000,tensor([2.8828]),0.661,nccl,45.97835159301758,44.05016034082933,45.95450210571289,37.493171449156776,0.02,1e-05,False,11.415616934457535,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,130,tensor(0.2037),tensor(0.1970),256,0.002,20000,tensor([2.0913]),2.137,nccl,32.87239074707031,37.67243714332581,32.79311752319336,46.19660438190807,0.02,1e-05,False,21.338393475566523,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,50,tensor(0.2445),tensor(0.2453),256,0.002,20000,tensor([2.8828]),0.821,nccl,45.11052322387695,49.72418654203415,45.088653564453125,30.276821043180384,0.02,1e-05,False,12.182440433952548,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,140,tensor(0.2025),tensor(0.2111),256,0.002,20000,tensor([2.0913]),2.302,nccl,32.4096565246582,43.195089213053386,31.948209762573242,61.8440321109913,0.02,1e-05,False,20.72603698503478,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,60,tensor(0.2439),tensor(0.2673),256,0.002,20000,tensor([2.8828]),0.982,nccl,44.4573974609375,38.570275876833044,44.357303619384766,32.208770708432276,0.02,1e-05,False,13.197910201449858,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,150,tensor(0.2020),tensor(0.2074),256,0.002,20000,tensor([2.0913]),2.46,nccl,32.66801452636719,48.638924617516366,31.930458068847656,45.3423171043396,0.02,1e-05,False,21.75713055510683,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,70,tensor(0.2430),tensor(0.2403),256,0.002,20000,tensor([2.8828]),1.14,nccl,43.495391845703125,53.69666443922018,43.6124153137207,3.345709443092346,0.02,1e-05,False,14.907162441462575,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,160,tensor(0.2021),tensor(0.1977),256,0.002,20000,tensor([2.0913]),2.618,nccl,31.198505401611328,32.181032795532076,30.98145866394043,37.66785894591233,0.02,1e-05,False,21.777905297298968,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,80,tensor(0.2433),tensor(0.2509),256,0.002,20000,tensor([2.8828]),1.298,nccl,42.43519592285156,44.139366351460154,42.694644927978516,-2.888104200363159,0.02,1e-05,False,15.758059260586997,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,170,tensor(0.2019),tensor(0.2007),256,0.002,20000,tensor([2.0913]),2.778,nccl,30.706323623657227,42.04529106806195,30.302051544189453,13.798507928848267,0.02,1e-05,False,23.358469735270525,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,90,tensor(0.2407),tensor(0.2617),256,0.002,20000,tensor([2.8828]),1.455,nccl,41.35498046875,34.00518136577947,41.51812744140625,49.97408774980279,0.02,1e-05,False,16.417079427759056,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,180,tensor(0.2008),tensor(0.2050),256,0.002,20000,tensor([2.0913]),2.936,nccl,30.588165283203125,46.72154222160089,30.585222244262695,37.09896311799034,0.02,1e-05,False,23.43311394823869,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,100,tensor(0.2393),tensor(0.2520),256,0.002,20000,tensor([2.8828]),1.616,nccl,40.10285186767578,45.39710177898407,40.268707275390625,45.54025190972513,0.02,1e-05,False,17.609412506444638,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,190,tensor(0.2009),tensor(0.1929),256,0.002,20000,tensor([2.0913]),3.1,nccl,30.21836280822754,32.54569622119268,29.814516067504883,38.18436226248741,0.02,1e-05,False,24.864922496154083,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,110,tensor(0.2379),tensor(0.2301),256,0.002,20000,tensor([2.8828]),1.775,nccl,39.52939224243164,55.70909775457075,39.57280349731445,51.2758551105647,0.02,1e-05,False,18.795951762102998,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,200,tensor(0.1994),tensor(0.1902),256,0.002,20000,tensor([2.0913]),3.27,nccl,30.711166381835938,36.1544392816091,30.40802001953125,44.35141613006592,0.02,1e-05,False,25.863173260477595,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,120,tensor(0.2378),tensor(0.2345),256,0.002,20000,tensor([2.8828]),1.935,nccl,38.61898422241211,32.79969363742404,38.967586517333984,24.379906103014946,0.02,1e-05,False,19.28906782389159,,30,128,1,0.1,0.0001,20,False,0.05,False
4,14,0,210,tensor(0.1986),tensor(0.1909),256,0.002,20000,tensor([2.0913]),3.432,nccl,30.1428279876709,33.19622722693852,29.660593032836914,59.78096657743057,0.02,1e-05,False,27.252949333809145,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,130,tensor(0.2377),tensor(0.2417),256,0.002,20000,tensor([2.8828]),2.095,nccl,37.58053970336914,46.56825381975908,37.619773864746094,35.035684701497274,0.02,1e-05,False,19.710466291123183,,30,128,1,0.1,0.0001,20,False,0.05,False
